x0,x1,y0,y1,mu
5,44,5,6,1.0
5,6,6,44,1.0
43,44,6,44,1.0
5,44,44,45,1.0
11,14,6,7,1.0
16,19,6,7,1.0
11,15,10,12,1.0
16,19,10,12,1.0
21,28,10,11,1.0
21,24,12,13,1.0
25,28,12,13,1.0
29,30,9,12,1.0
15,16,23,27,1.0
16,17,27,29,1.0
17,18,29,31,1.0
18,19,31,32,1.0
19,21,32,33,1.0
21,23,33,34,1.0
23,27,34,35,1.0
27,29,34,33,1.0
29,31,32,33,1.0
31,32,31,32,1.0
32,33,29,31,1.0
33,34,27,29,1.0
34,35,23,27,1.0
33,34,21,23,1.0
32,33,19,21,1.0
31,32,18,19,1.0
29,31,17,18,1.0
27,29,16,17,1.0
23,27,15,16,1.0
21,23,16,17,1.0
19,21,17,18,1.0
18,19,18,19,1.0
17,18,19,21,1.0
16,17,21,23,1.0
11,17,19,20,1.0
11,12,20,24,1.0
9,11,23,24,1.0
9,10,24,28,1.0
31,32,16,17,1.0
32,41,15,16,1.0
40,41,16,18,1.0
33,43,20,21,1.0
33,40,29,30,1.0
38,43,31,32,1.0
29,30,33,34,1.0
30,31,34,35,1.0
31,32,35,36,1.0
32,33,36,37,1.0
33,42,37,38,1.0
10,14,27,28,1.0
16,17,31,32,1.0
15,16,32,33,1.0
14,15,33,34,1.0
13,14,34,35,1.0
12,13,35,36,1.0
11,12,36,37,1.0
18,19,33,34,1.0
17,18,34,35,1.0
16,17,35,36,1.0
15,16,36,37,1.0
14,15,37,38,1.0
13,14,38,39,1.0
21,24,42,44,1.0
21,27,39,40,1.0
21,24,37,38,1.0
25,27,12,13,1.0
29,32,39,40,1.0
29,31,38,39,1.0
6,8,23,24,1.0
