x0,x1,y0,y1,mu
5,44,5,6,18.0
5,6,6,44,18.0
43,44,6,44,18.0
5,44,44,45,18.0
11,14,6,7,18.0
16,19,6,7,18.0
11,15,10,12,18.0
16,19,10,12,18.0
21,28,10,11,18.0
21,24,12,13,18.0
25,28,12,13,18.0
29,30,9,12,18.0
15,16,23,27,18.0
16,17,26,29,18.0
17,18,28,31,18.0
18,19,30,32,18.0
19,22,32,33,18.0
21,24,33,34,18.0
23,27,34,35,18.0
26,29,33,34,18.0
29,31,32,33,18.0
31,32,30,32,18.0
32,33,29,31,18.0
33,34,26,29,18.0
34,35,23,27,18.0
33,34,21,24,18.0
32,33,19,21,18.0
30,32,18,19,18.0
28,31,17,18,18.0
26,29,16,17,18.0
23,27,15,16,18.0
21,24,16,17,18.0
19,22,17,18,18.0
18,19,18,20,18.0
17,18,19,22,18.0
16,17,21,24,18.0
11,17,19,20,18.0
11,12,20,24,18.0
9,11,23,24,18.0
9,10,24,28,18.0
30,33,16,17,18.0
32,41,15,16,18.0
40,41,16,18,18.0
33,43,20,21,18.0
33,40,29,30,18.0
38,43,31,32,18.0
29,30,33,34,18.0
30,31,33,35,18.0
31,32,34,36,18.0
32,33,35,37,18.0
32,42,37,38,18.0
10,12,27,28,18.0
16,17,30,32,18.0
15,16,31,33,18.0
14,15,32,34,18.0
13,14,33,35,18.0
12,13,34,36,18.0
11,12,35,37,18.0
18,20,33,34,18.0
17,19,34,35,18.0
16,18,35,36,18.0
15,17,36,37,18.0
14,16,37,38,18.0
13,15,38,39,18.0
21,24,42,44,18.0
21,27,39,40,18.0
21,24,37,38,18.0
25,27,12,13,18.0
29,32,39,40,18.0
29,31,38,39,18.0
6,8,23,24,18.0
19,20,31,32,18.0
30,31,31,32,18.0
19,20,18,19,18.0
31,32,19,20,18.0
